الوقت (ث),درجة الحرارة (°C)
2.79,21.17
6.1,21.17
9.39,21.17
12.69,21.17
15.99,21.17
19.29,21.17
22.59,21.17
25.89,21.14
29.19,21.14
32.48,21.17
35.78,21.17
39.09,21.17
42.39,21.17
45.69,21.17
48.98,21.17
52.28,21.17
55.58,21.17
58.87,21.17
62.17,21.17
65.47,21.17
68.77,21.17
72.08,21.14
75.37,21.17
78.67,21.14
81.97,21.14
85.27,21.14
88.57,21.17
91.87,21.14
95.16,21.14
98.46,21.14
101.77,21.14
105.06,21.14
108.37,21.14
111.66,21.17
114.96,21.14
118.26,21.14
121.56,21.14
124.86,21.14
128.15,21.14
131.46,21.14
134.75,21.14
138.05,21.14
141.35,21.17
144.65,21.14
147.95,21.14
151.25,21.14
154.54,21.14
157.84,21.14
161.15,21.14
164.45,21.14
167.74,21.14
171.05,21.14
174.34,21.17
177.64,21.14
180.94,21.14
184.24,21.14
187.53,21.14
190.84,21.14
194.13,21.14
197.43,21.14
200.73,21.14
204.03,21.14
207.33,21.14
210.63,21.14
213.93,21.14
217.23,21.14
220.53,21.14
223.82,21.14
227.13,21.14
230.43,21.14
233.73,21.14
237.02,21.1
240.33,21.14
243.62,21.14
246.92,21.14
250.22,21.1
253.51,21.1
256.81,21.1
260.11,21.14
263.41,21.1
266.71,21.1
270.01,21.14
273.31,21.1
276.61,21.1
279.9,21.1
283.2,21.1
286.51,21.1
289.8,21.1
293.11,21.1
296.4,21.1
299.71,21.1
303.0,21.1
306.3,21.1
309.6,21.1
312.9,21.1
316.2,21.1
319.5,21.1
322.79,21.1
326.09,21.14
329.4,21.1
332.7,21.1
335.99,21.1
339.29,21.1
342.59,21.1
345.88,21.1
349.18,21.1
352.49,21.1
355.79,21.1
359.09,21.1
362.38,21.07
365.68,21.1
368.98,21.1
372.28,21.1
375.58,21.1
378.87,21.1
382.18,21.07
385.48,21.1
388.77,21.1
392.07,21.07
395.37,21.1
398.67,21.1
401.97,21.1
405.26,21.1
408.56,21.1
411.87,21.1
415.17,21.07
418.47,21.07
421.76,21.07
425.06,21.07
428.36,21.07
431.66,21.07
434.96,21.07
438.26,21.07
441.56,21.07
444.86,21.07
448.15,21.07
451.45,21.07
454.75,21.07
458.05,21.07
461.35,21.07
464.65,21.07
467.95,21.07
471.25,21.07
474.55,21.07
477.84,21.07
481.15,21.07
484.44,21.07
487.74,21.07
491.04,21.07
494.34,21.07
497.64,21.07
500.94,21.07
504.24,21.07
507.53,21.07
510.83,21.07
514.13,21.07
517.43,21.07
520.73,21.07
524.03,21.07
527.33,21.07
530.63,21.07
533.93,21.07
537.22,21.07
540.53,21.03
543.83,21.03
547.12,21.03
550.42,21.07
553.72,21.07
557.01,21.03
560.32,21.07
563.62,21.03
566.91,21.03
570.22,21.03
573.52,21.07
576.81,21.03
580.11,21.07
583.41,21.03
586.72,21.03
590.01,21.03
593.31,21.03
596.61,21.03
599.91,21.03
603.2,21.03
606.5,21.03
609.8,21.03
613.11,21.03
616.4,21.03
619.7,21.03
623.0,21.03
626.3,21.03
629.6,21.03
632.89,21.03
636.19,21.03
639.5,21.03
642.8,21.03
646.09,21.03
649.39,21.03
652.69,21.03
655.99,21.03
659.29,21.03
662.58,21.03
665.88,21.03
669.18,21.03
672.48,21.03
675.78,21.03
679.09,21.03
682.38,21.03
685.68,21.03
688.98,21.03
692.28,21.03
695.58,21.03
698.87,21.03
702.18,21.03
705.47,21.03
708.77,21.03
712.07,21.03
715.37,21.03
718.67,21.03
721.96,21.03
725.27,21.03
728.57,21.03
731.87,21.0
735.16,21.03
738.46,21.03
741.76,21.0
745.06,21.03
748.36,21.0
751.66,21.0
754.96,21.0
758.26,21.0
761.56,21.03
764.85,21.03
768.15,21.0
771.45,21.0
774.75,21.0
778.05,21.0
781.35,21.0
784.65,21.0
787.95,21.0
791.24,21.0
794.55,21.0
797.85,21.0
801.14,21.0
804.44,21.0
807.74,21.0
811.05,21.03
814.33,21.0
817.64,21.0
820.94,21.0
824.24,21.0
827.53,21.0
830.83,21.0
834.14,21.0
837.44,21.0
840.73,21.0
844.03,21.0
847.33,21.0
850.63,21.0
853.93,21.0
857.23,21.0
860.53,20.97
863.82,21.0
867.12,21.0
870.42,21.0
873.72,21.0
877.02,21.0
880.32,20.97
883.62,21.0
886.92,21.0
890.22,20.97
893.51,20.97
896.81,21.0
900.12,21.0
903.41,21.0
906.71,21.0
910.01,21.0
913.31,20.97
916.61,21.0
919.9,21.0
923.21,21.0
926.5,20.97
929.8,20.97
933.1,21.0
936.4,21.0
939.7,20.97
943.0,20.97
946.3,21.0
949.6,20.97
952.89,21.0
956.19,21.0
959.49,20.97
962.79,21.0
966.1,20.97
969.4,20.97
972.69,20.97
975.99,20.97
979.28,20.97
982.59,20.97
985.88,21.0
989.19,20.97
992.48,21.0
995.78,20.97
999.08,20.97
1002.38,20.97
1005.68,20.97
1008.98,20.97
1012.28,20.97
1015.57,20.97
1018.88,20.97
1022.18,20.97
1025.48,20.97
1028.77,20.97
1032.08,20.97
1035.37,20.97
1038.67,20.97
1041.96,20.97
1045.27,20.97
1048.57,20.97
1051.86,20.97
1055.17,20.97
1058.46,20.97
1061.77,20.97
1065.06,20.97
1068.36,20.97
1071.66,20.97
1074.96,20.97
1078.26,20.97
1081.56,20.97
1084.85,20.97
1088.15,20.97
1091.45,20.97
1094.75,20.97
1098.05,20.97
1101.35,20.97
1104.65,20.97
1107.95,20.97
1111.25,20.97
1114.55,20.97
1117.85,20.97
1121.15,20.97
1124.44,20.97
1127.75,20.97
1131.04,20.97
1134.35,20.97
1137.64,20.97
1140.94,20.97
1144.24,20.97
1147.54,20.97
1150.84,20.97
1154.14,20.97
1157.43,20.97
1160.73,20.97
1164.04,20.97
1167.33,20.97
1170.63,20.97
1173.93,20.97
1177.23,20.97
1180.53,20.97
1183.83,20.97
1187.13,20.97
1190.42,20.97
1193.73,20.97
1197.02,20.97
1200.33,20.97
1203.62,20.97
1206.92,20.97
1210.22,20.9
1213.52,20.97
1220.11,20.97
1223.41,20.97
1226.72,21.0
1233.32,20.97
1236.61,20.97
1239.91,20.97
1243.21,21.0
1246.51,20.97
1249.8,20.97
1253.1,20.97
1256.4,20.97
1259.7,20.97
1263.01,21.0
1266.3,20.97
1269.61,20.97
1272.9,20.97
1276.2,20.97
1279.5,21.0
1282.79,20.97
1286.09,20.97
1289.4,21.0
1292.7,20.97
1295.99,20.97
1299.29,20.97
1302.59,20.97
1305.89,20.97
1309.19,20.97
1312.49,21.0
1315.79,21.0
1319.09,21.0
1322.39,21.0
1325.68,20.97
1328.98,20.97
1332.28,20.97
1335.58,20.97
1338.88,21.0
1342.18,20.97
1345.47,21.0
1348.78,21.0
1352.07,21.0
